2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999831, state=FINISHED, type=type999831, host=host999831, timestamp=1528073296531]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999832, state=STARTED, type=type999832, host=host999832, timestamp=1528073296527]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999832, state=FINISHED, type=type999832, host=host999832, timestamp=1528073296529]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999833, state=STARTED, type=type999833, host=host999833, timestamp=1528073296527]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999833, state=FINISHED, type=type999833, host=host999833, timestamp=1528073296529]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999834, state=STARTED, type=type999834, host=host999834, timestamp=1528073296527]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999834, state=FINISHED, type=type999834, host=host999834, timestamp=1528073296536]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999835, state=STARTED, type=type999835, host=host999835, timestamp=1528073296527]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999835, state=FINISHED, type=type999835, host=host999835, timestamp=1528073296535]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999836, state=STARTED, type=type999836, host=host999836, timestamp=1528073296527]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999836, state=FINISHED, type=type999836, host=host999836, timestamp=1528073296528]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999837, state=STARTED, type=type999837, host=host999837, timestamp=1528073296527]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999837, state=FINISHED, type=type999837, host=host999837, timestamp=1528073296533]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999838, state=STARTED, type=type999838, host=host999838, timestamp=1528073296527]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999838, state=FINISHED, type=type999838, host=host999838, timestamp=1528073296534]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999839, state=STARTED, type=type999839, host=host999839, timestamp=1528073296527]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999839, state=FINISHED, type=type999839, host=host999839, timestamp=1528073296531]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999840, state=STARTED, type=type999840, host=host999840, timestamp=1528073296527]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999840, state=FINISHED, type=type999840, host=host999840, timestamp=1528073296532]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999841, state=STARTED, type=type999841, host=host999841, timestamp=1528073296527]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999841, state=FINISHED, type=type999841, host=host999841, timestamp=1528073296535]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999842, state=STARTED, type=type999842, host=host999842, timestamp=1528073296527]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999842, state=FINISHED, type=type999842, host=host999842, timestamp=1528073296529]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999843, state=STARTED, type=type999843, host=host999843, timestamp=1528073296527]
2018-06-04 12:48:10,949 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999843, state=FINISHED, type=type999843, host=host999843, timestamp=1528073296528]
2018-06-04 12:48:10,950 - DEBUG - main - EventsProccessorService - Event = NormalLogEvent [id=id999844, state=STARTED, type=type999844, host=host999844, timestamp=1528073296527]
